"Anio" "Mes" "Temperatura"
"1" 1942 8 7.00814425945282
"2" 1916 7 7.11977183818817
"3" 1868 8 7.24305140972137
"4" 1942 7 7.30041372776031
"5" 1952 8 7.400106549263
"6" 1961 8 7.40532052516937
"7" 1950 9 7.6800479888916
"8" 1894 9 7.99259185791016
"9" 1931 9 8.07800674438477
"10" 1924 7 8.14841496944427
"11" 1920 9 8.16330826282501
"12" 1916 9 8.16916930675507
"13" 1895 8 8.20027673244476
"14" 1916 8 8.20918166637421
"15" 1894 8 8.21332907676697
"16" 1948 8 8.22993981838226
"17" 1923 8 8.24014461040497
"18" 1950 8 8.24142098426819
"19" 1924 8 8.24327909946442
"20" 1902 8 8.25037240982056
